train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.35,1,12,0,95.0,6,0.01,0.17,1,83,0,524.0,4,73,-411.10254,1546.4497405347513,-1.1944052,-7147.84,-105.87143,494.49899898786447,0.0,-5001.8774,123.26666,105.41835,786438,1460,17449.767999887466
0.15,0,17,0,117.0,0,0.01,0.21,6,75,1,959.0,25,74,-65.573746,45.581921015217205,-1.134408,-161.50896,-445.31992,1582.1066967812253,0.0,-10031.973,103.841675,123.26167,795384,1480,17660.55300116539
0.3,1,13,0,91.0,6,0.01,0.22,1,78,0,717.0,6,75,-399.2839,1518.3461397191354,-1.1523867,-7015.207,-145.41501,702.0577754002871,0.0,-7093.289,122.35,106.81334,805366,1500,17874.97900080681
0.15,0,17,0,109.0,0,0.01,0.31,4,67,0,628.0,20,76,-63.720528,44.98346701497674,-1.1038826,-147.40202,-305.50177,1175.5043853597485,0.0,-7192.6616,104.691666,115.82666,814092,1520,18074.021999835968
0.5,0,10,0,98.0,0,0.01,0.22,2,76,0,666.0,10,77,-53.227947,59.7916663037166,-1.109583,-202.33975,-188.63756,829.7619417640219,0.0,-6911.4146,102.825,109.63,823752,1540,18275.370000123978
0.05,0,19,0,195.0,0,0.01,0.17,0,83,0,947.0,0,78,-103.78867,61.865419081462626,-1.3207052,-242.02559,-98.158646,79.53560130532742,0.0,-353.5439,104.4,103.1,832008,1560,18460.13000035286
0.25,0,15,0,148.0,0,0.01,0.19,1,81,0,1273.0,4,79,-76.11421,63.73357325127001,-1.0131788,-241.28989,-169.12418,825.2201645621609,0.0,-8347.35,102.53334,105.05167,841538,1580,18659.950999975204
0.1,0,18,1,1151.0,0,0.01,0.18,2,80,0,844.0,12,80,-579.4328,2166.0798692569024,-1.0504671,-10017.508,-228.0129,982.6684893696348,0.0,-7182.678,108.94167,110.30167,851474,1600,18864.778999567032
0.1,1,17,0,164.0,6,0.01,0.19,1,80,0,817.0,6,81,-440.29834,1519.3501242307514,-1.219248,-7057.681,-154.66243,704.4266036997751,0.0,-7125.8535,123.79167,106.23,861492,1620,19072.635001182556
0.1,0,18,0,158.0,0,0.01,0.22,4,76,0,1105.0,22,82,-85.60295,60.320857581561285,-1.299519,-213.79207,-374.02472,1452.4087028106105,0.0,-8832.572,104.09166,117.40999,870614,1640,19280.02400135994
0.15,1,17,0,306.0,5,0.01,0.17,1,82,0,893.0,5,83,-449.2508,1576.5870733962015,-1.1773413,-7315.8037,-159.37726,675.9416542868179,0.0,-6845.7935,119.34999,106.436676,880102,1660,19480.416000127792
0.25,0,15,0,131.0,0,0.01,0.15,7,83,0,953.0,35,84,-68.76013,56.863930928357384,-1.1501532,-171.31952,-519.7276,1560.1734262574787,0.0,-7155.32,102.75,126.06001,889262,1680,19692.88400053978
0.2,0,16,0,201.0,0,0.01,0.18,3,82,1,2864.0,14,85,-103.246506,111.92135212951995,-1.1816292,-384.65472,-467.59882,1817.4896093238058,0.0,-10036.052,103.09166,114.99,898222,1700,19893.286999940872
0.15,0,17,0,206.0,0,0.01,0.32,9,62,0,888.0,42,86,-106.24046,75.20787857664914,-1.1152524,-273.92303,-604.12616,1773.6989598012399,0.0,-8153.207,103.39166,132.62833,907402,1720,20100.944001436234
0.15,0,17,0,128.0,0,0.01,0.14,4,84,0,1278.0,21,87,-66.47326,51.12119484616924,-1.088152,-181.35922,-367.96497,1385.1336975180411,0.0,-8121.8003,102.441666,116.21667,916832,1740,20299.98700070381
0.5,1,9,0,48.0,5,0.01,0.4,3,58,0,255.0,16,88,-326.1302,1275.05250872268,-1.1610197,-5881.5024,-225.56587,1111.5547669818163,0.0,-7222.6626,120.166664,113.65666,926650,1760,20501.559000253677
